,city,date,weather
0,"Denver, United States of America",2018-01-01,Clear
1,"Denver, United States of America",2018-01-02,Clear
2,"Denver, United States of America",2018-01-03,Clear
3,"Denver, United States of America",2018-01-04,Clear
4,"Denver, United States of America",2018-01-05,Clear
5,"Denver, United States of America",2018-01-06,Clear
6,"Denver, United States of America",2018-01-07,Cloudy
7,"Denver, United States of America",2018-01-08,Clear
8,"Denver, United States of America",2018-01-09,Clear
9,"Denver, United States of America",2018-01-10,Clear
10,"Denver, United States of America",2018-01-11,Partly cloudy
11,"Denver, United States of America",2018-01-12,Clear
12,"Denver, United States of America",2018-01-13,Clear
13,"Denver, United States of America",2018-01-14,Clear
14,"Denver, United States of America",2018-01-15,Clear
15,"Denver, United States of America",2018-01-16,Clear
16,"Denver, United States of America",2018-01-17,Clear
17,"Denver, United States of America",2018-01-18,Clear
18,"Denver, United States of America",2018-01-19,Clear
19,"Denver, United States of America",2018-01-20,Clear
20,"Denver, United States of America",2018-01-21,Overcast
21,"Denver, United States of America",2018-01-22,Partly cloudy
22,"Denver, United States of America",2018-01-23,Partly cloudy
23,"Denver, United States of America",2018-01-24,Clear
24,"Denver, United States of America",2018-01-25,Partly cloudy
25,"Denver, United States of America",2018-01-26,Clear
26,"Denver, United States of America",2018-01-27,Clear
27,"Denver, United States of America",2018-01-28,Clear
28,"Denver, United States of America",2018-01-29,Clear
29,"Denver, United States of America",2018-01-30,Clear
30,"Denver, United States of America",2018-01-31,Clear
0,"Denver, United States of America",2018-02-01,Partly cloudy
1,"Denver, United States of America",2018-02-02,Clear
2,"Denver, United States of America",2018-02-03,Clear
3,"Denver, United States of America",2018-02-04,Clear
4,"Denver, United States of America",2018-02-05,Clear
5,"Denver, United States of America",2018-02-06,Partly cloudy
6,"Denver, United States of America",2018-02-07,Clear
7,"Denver, United States of America",2018-02-08,Clear
8,"Denver, United States of America",2018-02-09,Clear
9,"Denver, United States of America",2018-02-10,Partly cloudy
10,"Denver, United States of America",2018-02-11,Partly cloudy
11,"Denver, United States of America",2018-02-12,Clear
12,"Denver, United States of America",2018-02-13,Partly cloudy
13,"Denver, United States of America",2018-02-14,Clear
14,"Denver, United States of America",2018-02-15,Clear
15,"Denver, United States of America",2018-02-16,Overcast
16,"Denver, United States of America",2018-02-17,Clear
17,"Denver, United States of America",2018-02-18,Clear
18,"Denver, United States of America",2018-02-19,Clear
19,"Denver, United States of America",2018-02-20,Overcast
20,"Denver, United States of America",2018-02-21,Clear
21,"Denver, United States of America",2018-02-22,Clear
22,"Denver, United States of America",2018-02-23,Partly cloudy
23,"Denver, United States of America",2018-02-24,Cloudy
24,"Denver, United States of America",2018-02-25,Clear
25,"Denver, United States of America",2018-02-26,Clear
26,"Denver, United States of America",2018-02-27,Clear
27,"Denver, United States of America",2018-02-28,Clear
0,"Denver, United States of America",2018-03-01,Clear
1,"Denver, United States of America",2018-03-02,Clear
2,"Denver, United States of America",2018-03-03,Clear
3,"Denver, United States of America",2018-03-04,Clear
4,"Denver, United States of America",2018-03-05,Clear
5,"Denver, United States of America",2018-03-06,Clear
6,"Denver, United States of America",2018-03-07,Partly cloudy
7,"Denver, United States of America",2018-03-08,Clear
8,"Denver, United States of America",2018-03-09,Partly cloudy
9,"Denver, United States of America",2018-03-10,Clear
10,"Denver, United States of America",2018-03-11,Clear
11,"Denver, United States of America",2018-03-12,Clear
12,"Denver, United States of America",2018-03-13,Clear
13,"Denver, United States of America",2018-03-14,Clear
14,"Denver, United States of America",2018-03-15,Clear
15,"Denver, United States of America",2018-03-16,Overcast
16,"Denver, United States of America",2018-03-17,Clear
17,"Denver, United States of America",2018-03-18,Clear
18,"Denver, United States of America",2018-03-19,Overcast
19,"Denver, United States of America",2018-03-20,Clear
20,"Denver, United States of America",2018-03-21,Clear
21,"Denver, United States of America",2018-03-22,Overcast
22,"Denver, United States of America",2018-03-23,Clear
23,"Denver, United States of America",2018-03-24,Clear
24,"Denver, United States of America",2018-03-25,Clear
25,"Denver, United States of America",2018-03-26,Partly cloudy
26,"Denver, United States of America",2018-03-27,Freezing fog
27,"Denver, United States of America",2018-03-28,Clear
28,"Denver, United States of America",2018-03-29,Partly cloudy
29,"Denver, United States of America",2018-03-30,Clear
30,"Denver, United States of America",2018-03-31,Clear
0,"Denver, United States of America",2018-04-01,Partly cloudy
1,"Denver, United States of America",2018-04-02,Clear
2,"Denver, United States of America",2018-04-03,Partly cloudy
3,"Denver, United States of America",2018-04-04,Clear
4,"Denver, United States of America",2018-04-05,Clear
5,"Denver, United States of America",2018-04-06,Partly cloudy
6,"Denver, United States of America",2018-04-07,Overcast
7,"Denver, United States of America",2018-04-08,Partly cloudy
8,"Denver, United States of America",2018-04-09,Partly cloudy
9,"Denver, United States of America",2018-04-10,Clear
10,"Denver, United States of America",2018-04-11,Clear
11,"Denver, United States of America",2018-04-12,Clear
12,"Denver, United States of America",2018-04-13,Partly cloudy
13,"Denver, United States of America",2018-04-14,Partly cloudy
14,"Denver, United States of America",2018-04-15,Clear
15,"Denver, United States of America",2018-04-16,Clear
16,"Denver, United States of America",2018-04-17,Clear
17,"Denver, United States of America",2018-04-18,Clear
18,"Denver, United States of America",2018-04-19,Clear
19,"Denver, United States of America",2018-04-20,Clear
20,"Denver, United States of America",2018-04-21,Cloudy
21,"Denver, United States of America",2018-04-22,Clear
22,"Denver, United States of America",2018-04-23,Clear
23,"Denver, United States of America",2018-04-24,Cloudy
24,"Denver, United States of America",2018-04-25,Cloudy
25,"Denver, United States of America",2018-04-26,Partly cloudy
26,"Denver, United States of America",2018-04-27,Clear
27,"Denver, United States of America",2018-04-28,Clear
28,"Denver, United States of America",2018-04-29,Clear
29,"Denver, United States of America",2018-04-30,Clear
0,"Denver, United States of America",2018-05-01,Clear
1,"Denver, United States of America",2018-05-02,Overcast
2,"Denver, United States of America",2018-05-03,Thundery outbreaks possible
3,"Denver, United States of America",2018-05-04,Clear
4,"Denver, United States of America",2018-05-05,Clear
5,"Denver, United States of America",2018-05-06,Partly cloudy
6,"Denver, United States of America",2018-05-07,Clear
7,"Denver, United States of America",2018-05-08,Clear
8,"Denver, United States of America",2018-05-09,Clear
9,"Denver, United States of America",2018-05-10,Clear
10,"Denver, United States of America",2018-05-11,Partly cloudy
11,"Denver, United States of America",2018-05-12,Fog
12,"Denver, United States of America",2018-05-13,Partly cloudy
13,"Denver, United States of America",2018-05-14,Thundery outbreaks possible
14,"Denver, United States of America",2018-05-15,Clear
15,"Denver, United States of America",2018-05-16,Clear
16,"Denver, United States of America",2018-05-17,Clear
17,"Denver, United States of America",2018-05-18,Clear
18,"Denver, United States of America",2018-05-19,Thundery outbreaks possible
19,"Denver, United States of America",2018-05-20,Cloudy
20,"Denver, United States of America",2018-05-21,Clear
21,"Denver, United States of America",2018-05-22,Clear
22,"Denver, United States of America",2018-05-23,Clear
23,"Denver, United States of America",2018-05-24,Clear
24,"Denver, United States of America",2018-05-25,Clear
25,"Denver, United States of America",2018-05-26,Clear
26,"Denver, United States of America",2018-05-27,Clear
27,"Denver, United States of America",2018-05-28,Clear
28,"Denver, United States of America",2018-05-29,Partly cloudy
29,"Denver, United States of America",2018-05-30,Clear
30,"Denver, United States of America",2018-05-31,Clear
0,"Denver, United States of America",2018-06-01,Clear
1,"Denver, United States of America",2018-06-02,Clear
2,"Denver, United States of America",2018-06-03,Clear
3,"Denver, United States of America",2018-06-04,Clear
4,"Denver, United States of America",2018-06-05,Clear
5,"Denver, United States of America",2018-06-06,Clear
6,"Denver, United States of America",2018-06-07,Clear
7,"Denver, United States of America",2018-06-08,Clear
8,"Denver, United States of America",2018-06-09,Clear
9,"Denver, United States of America",2018-06-10,Clear
10,"Denver, United States of America",2018-06-11,Clear
11,"Denver, United States of America",2018-06-12,Clear
12,"Denver, United States of America",2018-06-13,Clear
13,"Denver, United States of America",2018-06-14,Clear
14,"Denver, United States of America",2018-06-15,Clear
15,"Denver, United States of America",2018-06-16,Clear
16,"Denver, United States of America",2018-06-17,Clear
17,"Denver, United States of America",2018-06-18,Overcast
18,"Denver, United States of America",2018-06-19,Mist
19,"Denver, United States of America",2018-06-20,Clear
20,"Denver, United States of America",2018-06-21,Clear
21,"Denver, United States of America",2018-06-22,Clear
22,"Denver, United States of America",2018-06-23,Clear
23,"Denver, United States of America",2018-06-24,Clear
24,"Denver, United States of America",2018-06-25,Clear
25,"Denver, United States of America",2018-06-26,Clear
26,"Denver, United States of America",2018-06-27,Clear
27,"Denver, United States of America",2018-06-28,Clear
28,"Denver, United States of America",2018-06-29,Clear
29,"Denver, United States of America",2018-06-30,Clear
0,"Denver, United States of America",2018-07-01,Clear
1,"Denver, United States of America",2018-07-02,Clear
2,"Denver, United States of America",2018-07-03,Clear
3,"Denver, United States of America",2018-07-04,Partly cloudy
4,"Denver, United States of America",2018-07-05,Partly cloudy
5,"Denver, United States of America",2018-07-06,Clear
6,"Denver, United States of America",2018-07-07,Clear
7,"Denver, United States of America",2018-07-08,Clear
8,"Denver, United States of America",2018-07-09,Clear
9,"Denver, United States of America",2018-07-10,Clear
10,"Denver, United States of America",2018-07-11,Clear
11,"Denver, United States of America",2018-07-12,Clear
12,"Denver, United States of America",2018-07-13,Clear
13,"Denver, United States of America",2018-07-14,Clear
14,"Denver, United States of America",2018-07-15,Clear
15,"Denver, United States of America",2018-07-16,Clear
16,"Denver, United States of America",2018-07-17,Clear
17,"Denver, United States of America",2018-07-18,Clear
18,"Denver, United States of America",2018-07-19,Clear
19,"Denver, United States of America",2018-07-20,Clear
20,"Denver, United States of America",2018-07-21,Clear
21,"Denver, United States of America",2018-07-22,Clear
22,"Denver, United States of America",2018-07-23,Clear
23,"Denver, United States of America",2018-07-24,Clear
24,"Denver, United States of America",2018-07-25,Clear
25,"Denver, United States of America",2018-07-26,Clear
26,"Denver, United States of America",2018-07-27,Clear
27,"Denver, United States of America",2018-07-28,Clear
28,"Denver, United States of America",2018-07-29,Clear
29,"Denver, United States of America",2018-07-30,Overcast
30,"Denver, United States of America",2018-07-31,Clear
0,"Denver, United States of America",2018-08-01,Clear
1,"Denver, United States of America",2018-08-02,Clear
2,"Denver, United States of America",2018-08-03,Partly cloudy
3,"Denver, United States of America",2018-08-04,Clear
4,"Denver, United States of America",2018-08-05,Clear
5,"Denver, United States of America",2018-08-06,Cloudy
6,"Denver, United States of America",2018-08-07,Clear
7,"Denver, United States of America",2018-08-08,Clear
8,"Denver, United States of America",2018-08-09,Clear
9,"Denver, United States of America",2018-08-10,Clear
10,"Denver, United States of America",2018-08-11,Clear
11,"Denver, United States of America",2018-08-12,Clear
12,"Denver, United States of America",2018-08-13,Clear
13,"Denver, United States of America",2018-08-14,Clear
14,"Denver, United States of America",2018-08-15,Clear
15,"Denver, United States of America",2018-08-16,Clear
16,"Denver, United States of America",2018-08-17,Clear
17,"Denver, United States of America",2018-08-18,Partly cloudy
18,"Denver, United States of America",2018-08-19,Clear
19,"Denver, United States of America",2018-08-20,Clear
20,"Denver, United States of America",2018-08-21,Clear
21,"Denver, United States of America",2018-08-22,Cloudy
22,"Denver, United States of America",2018-08-23,Clear
23,"Denver, United States of America",2018-08-24,Clear
24,"Denver, United States of America",2018-08-25,Clear
25,"Denver, United States of America",2018-08-26,Clear
26,"Denver, United States of America",2018-08-27,Clear
27,"Denver, United States of America",2018-08-28,Clear
28,"Denver, United States of America",2018-08-29,Clear
29,"Denver, United States of America",2018-08-30,Clear
30,"Denver, United States of America",2018-08-31,Clear
0,"Denver, United States of America",2018-09-01,Clear
1,"Denver, United States of America",2018-09-02,Clear
2,"Denver, United States of America",2018-09-03,Clear
3,"Denver, United States of America",2018-09-04,Clear
4,"Denver, United States of America",2018-09-05,Clear
5,"Denver, United States of America",2018-09-06,Partly cloudy
6,"Denver, United States of America",2018-09-07,Clear
7,"Denver, United States of America",2018-09-08,Clear
8,"Denver, United States of America",2018-09-09,Clear
9,"Denver, United States of America",2018-09-10,Clear
10,"Denver, United States of America",2018-09-11,Clear
11,"Denver, United States of America",2018-09-12,Clear
12,"Denver, United States of America",2018-09-13,Clear
13,"Denver, United States of America",2018-09-14,Clear
14,"Denver, United States of America",2018-09-15,Clear
15,"Denver, United States of America",2018-09-16,Clear
16,"Denver, United States of America",2018-09-17,Clear
17,"Denver, United States of America",2018-09-18,Clear
18,"Denver, United States of America",2018-09-19,Clear
19,"Denver, United States of America",2018-09-20,Partly cloudy
20,"Denver, United States of America",2018-09-21,Clear
21,"Denver, United States of America",2018-09-22,Clear
22,"Denver, United States of America",2018-09-23,Clear
23,"Denver, United States of America",2018-09-24,Clear
24,"Denver, United States of America",2018-09-25,Clear
25,"Denver, United States of America",2018-09-26,Clear
26,"Denver, United States of America",2018-09-27,Clear
27,"Denver, United States of America",2018-09-28,Clear
28,"Denver, United States of America",2018-09-29,Clear
29,"Denver, United States of America",2018-09-30,Clear
0,"Denver, United States of America",2018-10-01,Clear
1,"Denver, United States of America",2018-10-02,Clear
2,"Denver, United States of America",2018-10-03,Clear
3,"Denver, United States of America",2018-10-04,Partly cloudy
4,"Denver, United States of America",2018-10-05,Clear
5,"Denver, United States of America",2018-10-06,Cloudy
6,"Denver, United States of America",2018-10-07,Clear
7,"Denver, United States of America",2018-10-08,Cloudy
8,"Denver, United States of America",2018-10-09,Cloudy
9,"Denver, United States of America",2018-10-10,Cloudy
10,"Denver, United States of America",2018-10-11,Partly cloudy
11,"Denver, United States of America",2018-10-12,Clear
12,"Denver, United States of America",2018-10-13,Clear
13,"Denver, United States of America",2018-10-14,Overcast
14,"Denver, United States of America",2018-10-15,Clear
15,"Denver, United States of America",2018-10-16,Clear
16,"Denver, United States of America",2018-10-17,Clear
17,"Denver, United States of America",2018-10-18,Clear
18,"Denver, United States of America",2018-10-19,Cloudy
19,"Denver, United States of America",2018-10-20,Clear
20,"Denver, United States of America",2018-10-21,Clear
21,"Denver, United States of America",2018-10-22,Clear
22,"Denver, United States of America",2018-10-23,Clear
23,"Denver, United States of America",2018-10-24,Partly cloudy
24,"Denver, United States of America",2018-10-25,Clear
25,"Denver, United States of America",2018-10-26,Clear
26,"Denver, United States of America",2018-10-27,Clear
27,"Denver, United States of America",2018-10-28,Clear
28,"Denver, United States of America",2018-10-29,Clear
29,"Denver, United States of America",2018-10-30,Clear
30,"Denver, United States of America",2018-10-31,Mist
0,"Denver, United States of America",2018-11-01,Partly cloudy
1,"Denver, United States of America",2018-11-02,Clear
2,"Denver, United States of America",2018-11-03,Clear
3,"Denver, United States of America",2018-11-04,Clear
4,"Denver, United States of America",2018-11-05,Partly cloudy
5,"Denver, United States of America",2018-11-06,Clear
6,"Denver, United States of America",2018-11-07,Clear
7,"Denver, United States of America",2018-11-08,Clear
8,"Denver, United States of America",2018-11-09,Clear
9,"Denver, United States of America",2018-11-10,Cloudy
10,"Denver, United States of America",2018-11-11,Partly cloudy
11,"Denver, United States of America",2018-11-12,Overcast
12,"Denver, United States of America",2018-11-13,Clear
13,"Denver, United States of America",2018-11-14,Clear
14,"Denver, United States of America",2018-11-15,Clear
15,"Denver, United States of America",2018-11-16,Clear
16,"Denver, United States of America",2018-11-17,Partly cloudy
17,"Denver, United States of America",2018-11-18,Cloudy
18,"Denver, United States of America",2018-11-19,Clear
19,"Denver, United States of America",2018-11-20,Clear
20,"Denver, United States of America",2018-11-21,Clear
21,"Denver, United States of America",2018-11-22,Clear
22,"Denver, United States of America",2018-11-23,Clear
23,"Denver, United States of America",2018-11-24,Clear
24,"Denver, United States of America",2018-11-25,Overcast
25,"Denver, United States of America",2018-11-26,Clear
26,"Denver, United States of America",2018-11-27,Clear
27,"Denver, United States of America",2018-11-28,Clear
28,"Denver, United States of America",2018-11-29,Partly cloudy
29,"Denver, United States of America",2018-11-30,Clear
0,"Denver, United States of America",2018-12-01,Clear
1,"Denver, United States of America",2018-12-02,Clear
2,"Denver, United States of America",2018-12-03,Partly cloudy
3,"Denver, United States of America",2018-12-04,Partly cloudy
4,"Denver, United States of America",2018-12-05,Clear
5,"Denver, United States of America",2018-12-06,Partly cloudy
6,"Denver, United States of America",2018-12-07,Clear
7,"Denver, United States of America",2018-12-08,Clear
8,"Denver, United States of America",2018-12-09,Clear
9,"Denver, United States of America",2018-12-10,Clear
10,"Denver, United States of America",2018-12-11,Clear
11,"Denver, United States of America",2018-12-12,Clear
12,"Denver, United States of America",2018-12-13,Cloudy
13,"Denver, United States of America",2018-12-14,Partly cloudy
14,"Denver, United States of America",2018-12-15,Cloudy
15,"Denver, United States of America",2018-12-16,Clear
16,"Denver, United States of America",2018-12-17,Clear
17,"Denver, United States of America",2018-12-18,Partly cloudy
18,"Denver, United States of America",2018-12-19,Clear
19,"Denver, United States of America",2018-12-20,Clear
20,"Denver, United States of America",2018-12-21,Clear
21,"Denver, United States of America",2018-12-22,Clear
22,"Denver, United States of America",2018-12-23,Clear
23,"Denver, United States of America",2018-12-24,Clear
24,"Denver, United States of America",2018-12-25,Clear
25,"Denver, United States of America",2018-12-26,Clear
26,"Denver, United States of America",2018-12-27,Overcast
27,"Denver, United States of America",2018-12-28,Partly cloudy
28,"Denver, United States of America",2018-12-29,Partly cloudy
29,"Denver, United States of America",2018-12-30,Clear
30,"Denver, United States of America",2018-12-31,Clear
